,url,address,title,area,bedrooms,bathrooms,garages,price,date
97,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-97m2-venda-RS425000-id-2517253285/,"Avenida Brigadeiro da Silva Paes, 262 - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 97m²
",97,3,2,1,425000,2021-04-28 
98,vivareal.com/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-com-garagem-120m2-venda-RS790000-id-2512932077/,"Rua Brasilpinho - Kobrasol, São José - SC","Apartamento com 3 Quartos à Venda, 120m²
",120,3,4,2,790000,2021-04-28 
99,vivareal.com/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-106m2-venda-RS599000-id-2513136373/,"Rua Elizeu Di Bernardi, 901 - Campinas, São José - SC","Apartamento com 2 Quartos à Venda, 106m²
",106,2,2,1,599000,2021-04-28 
100,vivareal.com/imovel/apartamento-2-quartos-areias-bairros-sao-jose-com-garagem-56m2-venda-RS320000-id-2511505511/,"Rua Elis Regina - Areias, São José - SC","Apartamento com 2 Quartos à Venda, 56m²
",56,2,1,2,320000,2021-04-28 
102,vivareal.com/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-com-garagem-109m2-venda-RS395000-id-2516114072/,"Rua Delamar José da Silva, 327 - Kobrasol, São José - SC","Apartamento com 3 Quartos à Venda, 109m²
",109,3,2,1,395000,2021-04-28 
103,vivareal.com/imovel/apartamento-2-quartos-praia-comprida-bairros-sao-jose-com-garagem-66m2-venda-RS270000-id-2509939488/,"Rua Alcides S. Coelho, 390 - Praia Comprida, São José - SC","Apartamento com 2 Quartos à Venda, 66m²
",66,2,2,1,270000,2021-04-28 
104,vivareal.com/imovel/apartamento-2-quartos-rocado-bairros-sao-jose-com-garagem-48m2-venda-RS259000-id-2518088976/,"Rua José Airton de Castro, 160 - Roçado, São José - SC","Apartamento com 2 Quartos à Venda, 48m²
",48,2,1,1,259000,2021-04-28 
105,vivareal.com/imovel/apartamento-2-quartos-areias-bairros-sao-jose-com-garagem-66m2-venda-RS238000-id-2492039383/,"Rua Fagundes Varela, 1188 - Areias, São José - SC","Apartamento com 2 Quartos à Venda, 66m²
",66,2,2,1,238000,2021-04-28 
106,vivareal.com/imovel/apartamento-2-quartos-areias-bairros-sao-jose-com-garagem-61m2-venda-RS254400-id-2510609476/,"Rua Álvaro Medeiros Santiago, 1634 - Areias, São José - SC","Apartamento com 2 Quartos à Venda, 61m²
",61,2,2,1,254400,2021-04-28 
107,vivareal.com/imovel/apartamento-2-quartos-areias-bairros-sao-jose-com-garagem-75m2-venda-RS280000-id-2505550483/,"Rua Augusto Jorge Brüggemann, 527 - Areias, São José - SC","Apartamento com 2 Quartos à Venda, 75m²
",75,2,2,1,280000,2021-04-28 
108,vivareal.com/imovel/apartamento-2-quartos-serraria-bairros-sao-jose-com-garagem-47m2-venda-RS99900-id-2517457434/,"Serraria, São José - SC","Apartamento com 2 Quartos à Venda, 47m²
",47,2,1,1,99900,2021-04-28 
110,vivareal.com/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-com-garagem-98m2-venda-RS579000-id-2511078499/,"Rua João Batista Derner Neves - Kobrasol, São José - SC","Apartamento com 3 Quartos à Venda, 98m²
",98,3,2,1,579000,2021-04-28 
111,vivareal.com/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-com-garagem-116m2-venda-RS650000-id-2491795697/,"Rua Maria Manchen de Souza, 387 - Kobrasol, São José - SC","Apartamento com 3 Quartos à Venda, 116m²
",116,3,2,1,650000,2021-04-28 
112,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-130m2-venda-RS700000-id-2487630579/,"Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 130m²
",130,3,1,2,700000,2021-04-28 
113,vivareal.com/imovel/apartamento-2-quartos-kobrasol-bairros-sao-jose-com-garagem-67m2-venda-RS510000-id-2517187674/,"Rua Brasilpinho, 104 - Kobrasol, São José - SC","Apartamento com 2 Quartos à Venda, 67m²
",67,2,2,1,510000,2021-04-28 
114,vivareal.com/imovel/apartamento-2-quartos-forquilhinhas-bairros-sao-jose-com-garagem-55m2-venda-RS240000-id-2516953118/,"Rua Vidal Vicente Andrade, 0 - Forquilhinhas, São José - SC","Apartamento com 2 Quartos à Venda, 55m²
",55,2,1,1,240000,2021-04-28 
